time/total_timesteps,eval/mean_reward,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed
82000,-70.0888104,81899,-0.28961753845214844,0.0001965450924118268,7.754961013793945,786.2,0.006835241802036762,0.9442598819732666,,,,,
83000,-62.50701840000001,82899,0.6457378268241882,0.0001965450924118268,6.859196662902832,1600.0,0.007176913321018219,0.5228416919708252,,,,,
84000,-12.833226199999999,83899,-0.017871350049972534,0.0001965450924118268,8.357017517089844,1600.0,0.007393982261419296,0.5502974390983582,,,,,
84821,,84720,-0.892075777053833,0.0001965450924118268,7.119015693664551,,0.00694448035210371,0.46086323261260986,708.78,54,148,-103.40998927999999,1568
85000,-32.5645038,84899,-0.7675420045852661,0.0001965450924118268,7.591398239135742,1600.0,0.006874855607748032,0.4585612416267395,,,,,
86000,-46.62404239999999,85899,-0.4644621014595032,0.0001965450924118268,7.492429733276367,1003.0,0.006469761487096548,0.8738675117492676,,,,,
87000,-17.8016822,86899,-0.44299042224884033,0.0001965450924118268,7.487518310546875,1452.0,0.006394980940967798,0.38742899894714355,,,,,
88000,-80.04208299999999,87899,-0.6238701343536377,0.0001965450924118268,6.624239444732666,788.2,0.006710471585392952,0.687150239944458,,,,,
89000,-98.6293876,88899,1.210321307182312,0.0001965450924118268,8.311732292175293,82.2,0.007163903210312128,0.495451420545578,,,,,
90000,-90.98367699999999,89899,0.18011225759983063,0.0001965450924118268,7.759058952331543,1200.8,0.007272646296769381,0.6373154520988464,,,,,
90906,,90805,-0.2910313010215759,0.0001965450924118268,7.813910484313965,,0.006769336294382811,0.6473805904388428,766.76,54,152,-99.88726917,1669
91000,-20.129216800000002,90899,0.17196083068847656,0.0001965450924118268,8.263976097106934,1600.0,0.006697512231767178,0.9324367046356201,,,,,
92000,-82.9954192,91899,-2.090444564819336,0.0001965450924118268,6.322314262390137,1027.0,0.006232661195099354,0.316772997379303,,,,,
93000,-62.42445680000001,92899,0.9186105132102966,0.0001965450924118268,6.164718151092529,1600.0,0.006092318333685398,0.3960360586643219,,,,,
94000,-93.40642840000001,93899,-1.2381134033203125,0.0001965450924118268,5.989603042602539,707.6,0.005926685407757759,0.46109244227409363,,,,,
95000,-69.4686088,94899,-0.511017918586731,0.0001965450924118268,5.592994689941406,1600.0,0.006239851471036673,0.44334083795547485,,,,,
95454,,95353,0.35812434554100037,0.0001965450924118268,4.7392048835754395,,0.006391085218638182,0.501214861869812,809.26,54,156,-98.64714664000002,1753
96000,-73.84073000000001,95899,2.8041515350341797,0.0001965450924118268,4.814621448516846,1070.6,0.006782314740121365,0.47871965169906616,,,,,
97000,-70.4785072,96899,-1.2794183492660522,0.0001965450924118268,3.941957950592041,1300.6,0.007510263007134199,0.3643385171890259,,,,,
98000,-101.080623,97899,2.2894554138183594,0.0001965450924118268,2.9589967727661133,698.4,0.007935607805848122,0.6629129648208618,,,,,
99000,-61.363016,98899,-1.364103078842163,0.0001965450924118268,2.6769375801086426,1600.0,0.007679449860006571,0.4099424481391907,,,,,
100000,-57.951612,99899,0.3974534869194031,0.0001965450924118268,3.2033700942993164,1314.0,0.007477959617972374,0.6484904289245605,,,,,
100715,,100614,-0.1383417844772339,0.0001965450924118268,3.4019689559936523,,0.00725680822506547,0.3863772451877594,850.5,54,160,-95.14114509000001,1857
101000,-80.06116080000001,100899,-0.2900558412075043,0.0001965450924118268,2.846271514892578,1600.0,0.007099573966115713,0.6517781019210815,,,,,
102000,-80.3106436,101899,-0.6779503226280212,0.0001965450924118268,3.6580162048339844,899.6,0.006597963627427816,0.4134175181388855,,,,,
103000,-80.126124,102899,-0.91898512840271,0.0001965450924118268,4.618101119995117,999.0,0.006821995601058006,0.6386790871620178,,,,,
104000,-31.687925800000006,103899,0.9762654304504395,0.0001965450924118268,3.1031031608581543,913.4,0.006704874336719513,0.4623029828071594,,,,,
104996,,104895,1.1754595041275024,0.0001965450924118268,3.404785633087158,,0.0069167958572506905,0.45050185918807983,872.89,54,164,-90.60752149,1928
105000,-81.74958500000001,104899,2.5006375312805176,0.0001965450924118268,4.380906581878662,222.0,0.006915942300111055,0.40911850333213806,,,,,
106000,139.1010076,105899,-0.39521175622940063,0.0001965450924118268,4.464038848876953,1253.4,0.006741408258676529,0.5596231818199158,,,,,
107000,-64.61625719999999,106899,-0.2164486050605774,0.0001965450924118268,4.350564002990723,1331.6,0.006044705864042044,0.3289259076118469,,,,,
108000,-7.105566400000001,107899,-0.7063647508621216,0.0001965450924118268,5.359496116638184,1437.6,0.0059335906989872456,0.5178362727165222,,,,,
109000,85.3372926,108899,-1.902620553970337,0.0001965450924118268,4.1916608810424805,1225.6,0.005838677752763033,0.20903635025024414,,,,,
110000,126.73841440000001,109899,-1.2391033172607422,0.0001965450924118268,4.8186354637146,1600.0,0.0057497392408549786,0.42866504192352295,,,,,
110397,,110296,-1.5731298923492432,0.0001965450924118268,4.400547981262207,,0.00569886015728116,0.4513571262359619,902.44,54,168,-81.80044559,2025
111000,38.7619184,110899,0.7481050491333008,0.0001965450924118268,5.151042938232422,1198.8,0.005595484748482704,0.5322622060775757,,,,,
